question,answer,type,difficulty,link
C'est la femme de quelle joueur ?, Antonela Roccuzzo (Lionel Messi),recognize-wife,easy,/src/src/image/wife/antonela-roccuzzo.jpeg
C'est la femme de quelle joueur ?,Shakira (Gerard Piqué),recognize-wife,easy,/src/src/image/wife/shakira.webp
C'est la femme de quelle joueur ?,Anna Lewandowska (Robert Lewandowski),recognize-wife,hard,/src/src/image/wife/anna-lewandowska.jpeg
C'est la femme de quelle joueur ?,Bruna Marquezine (Neymar),recognize-wife,hard,/src/src/image/wife/bruna-marquezine.jpeg
C'est la femme de quelle joueur ?,Wanda Nara (Icardi),recognize-wife,hard,/src/src/image/wife/wanda-nara.webp
C'est la femme de quelle joueur ?,Sethanie Taing (Draxler),recognize-wife,hard,/src/src/image/wife/sethanie-taing.webp
C'est la femme de quelle joueur ?,Carol Cabrino (Marquinhos),recognize-wife,hard,/src/src/image/wife/carol-cabrino.webp
C'est la femme de quelle joueur ?,Edurne Garcia (David de Gea),recognize-wife,hard,/src/src/image/wife/edurne-garcia.webp
C'est la femme de quelle joueur ?,Jordan Ozunai (Karim Benzema),recognize-wife,hard,/src/src/image/wife/jordan-ozuna.jpeg
C'est la femme de quelle joueur ?,Victoria Beckham (David Beckham),recognize-wife,hard,/src/src/image/wife/victoria-beckham.jpeg
C'est la femme de quelle joueur ?,Daniela Ospina (James Rodríguez) ,recognize-wife,hard,/src/src/image/wife/daniela-ospina.jpeg
C'est la femme de quelle joueur ?,Pamela Anderson (Adil Rami),recognize-wife,hard,/src/src/image/wife/pamela-anderson.webp
C'est la femme de quelle joueur ?,Maria Zulay Salaues (Paul Pogba),recognize-wife,hard,/src/src/image/wife/maria-salaues.jpeg
C'est la femme de quelle joueur ?,Pilar Rubio (Sergio Ramos),recognize-wife,hard,/src/src/image/wife/pilar-rubio.jpeg
C'est la femme de quelle joueur ?,Marine Lloris (Hugo Lloris),recognize-wife,hard,/src/src/image/wife/marine-lloris.jpeg
C'est la femme de quelle joueur ?,Erika Choperena (Antoine Griezmann),recognize-wife,hard,/src/src/image/wife/erika-choperena.jpeg
C'est la femme de quelle joueur ?,Fanny Neguesha (Balotelli),recognize-wife,hard,/src/src/image/wife/fanny-neguesha.jpeg
C'est la femme de quelle joueur ?,Helena Seger (Zlatan),recognize-wife,hard,/src/src/image/wife/helena-seger.jpeg
C'est la femme de quelle joueur ?,Sara Carbonero (Iker Casillas),recognize-wife,hard,/src/src/image/wife/sara-carbonero.webp
C'est la carrière de quel joueur ? ,Lionel Messi,career-player,easy,/src/src/image/career/messi-career.png
C'est la carrière de quel joueur ? ,Cristiano Ronaldo,career-player,easy,/src/src/image/career/ronaldo-career.png
C'est la carrière de quel joueur ? ,Neymar,career-player,easy,/src/src/image/career/neymar-career.png
C'est la carrière de quel joueur ? ,Mohamed Salah,career-player,easy,/src/src/image/career/salah-career.png
C'est la carrière de quel joueur ? ,Romelu Lukaku,career-player,easy,/src/src/image/career/lukaku-career.png
C'est la carrière de quel joueur ? ,N'Golo Kanté,career-player,easy,/src/src/image/career/kante-career.png
C'est la carrière de quel joueur ? ,Toni Kroos,career-player,easy,/src/src/image/career/kroos-career.png
C'est la carrière de quel joueur ? ,Kingsley Coman,career-player,easy,/src/src/image/career/coman-career.png
C'est la carrière de quel joueur ? ,Achraf Hakimi ,career-player,easy,/src/src/image/career/hakimi-career.png
C'est la carrière de quel joueur ? ,João Félix,career-player,easy,/src/src/image/career/felix-career.png
C'est la carrière de quel joueur ? ,Erling Haaland,career-player,easy,/src/src/image/career/haaland-career.png
C'est la carrière de quel joueur ? ,Nuno Mendes,career-player,easy,/src/src/image/career/mendes-career.png
C'est la carrière de quel joueur ? ,Jude Bellingham,career-player,easy,/src/src/image/career/bellingham-career.png
C'est la carrière de quel joueur ? ,Milan Škriniar,career-player,easy,/src/src/image/career/skriniar-career.png
C'est la carrière de quel joueur ? ,Zinedine Zidane,career-player,easy,/src/src/image/career/zidane-career.png
C'est la carrière de quel joueur ? ,Kevin De Bruyne,career-player,medium,/src/src/image/career/debruyne-career.png
C'est la carrière de quel joueur ? ,Bruno Fernandes,career-player,medium,/src/src/image/career/fernandes-career.png
C'est la carrière de quel joueur ? ,Bruno Guimarães,career-player,medium,/src/src/image/career/guimaraes-career.png
C'est la carrière de quel joueur ? ,João Cancelo,career-player,medium,/src/src/image/career/cancelo-career.png
C'est la carrière de quel joueur ? ,Ruben Dias,career-player,medium,/src/src/image/career/dias-career.png
C'est la carrière de quel joueur ? ,Alphonso Davies ,career-player,medium,/src/src/image/career/davies-career.png
C'est la carrière de quel joueur ? ,Renato Sanches,career-player,medium,/src/src/image/career/sanches-career.png
C'est la carrière de quel joueur ? ,Dayot Upamecano ,career-player,medium,/src/src/image/career/upamecano-career.png
C'est la carrière de quel joueur ? ,Timo Werner,career-player,medium,/src/src/image/career/werner-career.png
C'est la carrière de quel joueur ? ,Bernardo Silva,career-player,medium,/src/src/image/career/silva-career.png
C'est la carrière de quel joueur ? ,Victor Osimhen,career-player,medium,/src/src/image/career/osimhen-career.png
C'est la carrière de quel joueur ? ,Anthony Martial,career-player,medium,/src/src/image/career/martial-career.png
C'est la carrière de quel joueur ? ,Danilo Pereira,career-player,medium,/src/src/image/career/danilo-career.png
C'est la carrière de quel joueur ? ,Robin van Persie,career-player,medium,/src/src/image/career/van-persie-career.png
C'est la carrière de quel joueur ? ,Wayne Rooney,career-player,medium,/src/src/image/career/rooney-career.png
C'est la carrière de quel joueur ? ,Pedro Neto,career-player,hard,/src/src/image/career/neto-career.png
C'est la carrière de quel joueur ? ,Leon Goretzka,career-player,hard,/src/src/image/career/goretzka-career.png
C'est la carrière de quel joueur ? ,Virgil van Dijk,career-player,hard,/src/src/image/career/van-dijk-career.png
C'est la carrière de quel joueur ? ,Youri Tielemans,career-player,hard,/src/src/image/career/tielemans-career.png
C'est la carrière de quel joueur ? ,Weston McKennie,career-player,hard,/src/src/image/career/mckennie-career.png
C'est la carrière de quel joueur ? ,Ollie Watkins,career-player,hard,/src/src/image/career/watkins-career.png
C'est la carrière de quel joueur ? ,Sergiño Dest,career-player,hard,/src/src/image/career/dest-career.png
C'est la carrière de quel joueur ? ,Youssef En-Nesyri,career-player,hard,/src/src/image/career/en-nesyri-career.png
C'est la carrière de quel joueur ? ,Serge Gnabry,career-player,hard,/src/src/image/career/gnabry-career.png
C'est la carrière de quel joueur ? ,Robert Pires,career-player,hard,/src/src/image/career/pires-career.png
C'est la carrière de quel joueur ? ,Andrea Pirlo,career-player,hard,/src/src/image/career/pirlo-career.png
C'est la carrière de quel joueur ? ,Ilaix Moriba,career-player,hard,/src/src/image/career/moriba-career.png
C'est la carrière de quel joueur ? ,Diogo Jota,career-player,hard,/src/src/image/career/jota-career.png
C'est la carrière de quel joueur ? ,Sacha Boey,career-player,hard,/src/src/image/career/boey-career.png
 À quelle minute ce but a-t-il été marqué ?,"Diego Maradona - ""Le but du siècle"" (1986) - Minute : 55'",minutes,hard,/src/src/video/minutes/but-du-siecle.mp4
 À quelle minute ce but a-t-il été marqué ?,109e Minutes (Eder),minutes,hard,/src/src/video/minutes/portugal.mp4
 À quelle minute ce but a-t-il été marqué ?,81e Minutes (Mbappe),minutes,hard,/src/src/video/minutes/france-argentine.mp4
 À quelle minute ce but a-t-il été marqué ?,64e Minutes (Ronaldo),minutes,hard,/src/src/video/minutes/ronaldo-reprise.mp4
 À quelle minute ce but a-t-il été marqué ?,93e Minutes (Cavani),minutes,hard,/src/src/video/minutes/but-cavani.mp4
 À quelle minute ce but a-t-il été marqué ?,64e Minutes (Bale),minutes,hard,/src/src/video/minutes/bale.mp4
 À quelle minute ce but a-t-il été marqué ?,87e Minutes (Ozil),minutes,hard,/src/src/video/minutes/ozil.mp4
 À quelle minute ce but a-t-il été marqué ?,80e Minutes (Messi),minutes,hard,/src/src/video/minutes/messi.mp4
 À quelle minute ce but a-t-il été marqué ?,45e Minutes (Ronaldo),minutes,hard,/src/src/video/minutes/ronaldo-tete.mp4
 À quelle minute ce but a-t-il été marqué ?,69e Minutes (Giroud),minutes,hard,/src/src/video/minutes/giroud.mp4
 À quelle minute ce but a-t-il été marqué ?,60e Minutes (Lewandowski),minutes,hard,/src/src/video/minutes/lewandowski.mp4
 À quelle minute ce but a-t-il été marqué ?,57e Minutes (Pavard),minutes,hard,/src/src/video/minutes/pavard.mp4
 À quelle minute ce but a-t-il été marqué ?,59e Minutes (Coman),minutes,hard,/src/src/video/minutes/coman.mp4
 À quelle minute ce but a-t-il été marqué ?,94e Minutes (Aguero),minutes,hard,/src/src/video/minutes/aguero.mp4
 À quelle minute ce but a-t-il été marqué ?,57e Minutes (Leao),minutes,hard,/src/src/video/minutes/leao.mp4
Trouve l'équipe ,Paris-Saint-Germains,composition,easy,/src/src/image/composition/paris-saint-germains.png
Trouve l'équipe ,Real Madrid,composition,easy,/src/src/image/composition/real-madrid.png
Trouve l'équipe ,Barcelonne,composition,easy,/src/src/image/composition/paris-saint-germains.png
Trouve l'équipe ,Manchester City,composition,easy,/src/src/image/composition/barcelone.png
Trouve l'équipe ,Liverpool,composition,easy,/src/src/image/composition/manchester-city.png
Trouve l'équipe ,Manchester United,composition,easy,/src/src/image/composition/liverpool.png
Trouve l'équipe ,Juventus,composition,easy,/src/src/image/composition/manchester-united.png
Trouve l'équipe ,Inter Milan,composition,easy,/src/src/image/composition/juventus.png
Trouve l'équipe ,Ac Milan,composition,easy,/src/src/image/composition/inter-milan.png
Trouve l'équipe ,Arsenal,composition,easy,/src/src/image/composition/ac-milan.png
Trouve l'équipe ,Chelsea,composition,medium,/src/src/image/composition/arsenal.png
Trouve l'équipe ,Inter Miami,composition,medium,/src/src/image/composition/chelsea.png
Trouve l'équipe ,Naples,composition,medium,/src/src/image/composition/inter-miami.png
Trouve l'équipe ,Aston Villa,composition,medium,/src/src/image/composition/aston-villa.png
Trouve l'équipe ,Galatasaray,composition,medium,/src/src/image/composition/galatasaray.png
Trouve l'équipe ,Lyon,composition,medium,/src/src/image/composition/lyon.png
